,Invoice,CustomerID,Country,Datetime,ItemCount,Quantity,Max_Price,Value
0,489434,13085.0,United Kingdom,2009-12-01 07:45:00,8,166,6.95,505.30000000000007
1,489435,13085.0,United Kingdom,2009-12-01 07:46:00,4,60,3.75,145.79999999999998
2,489436,13078.0,United Kingdom,2009-12-01 09:06:00,19,193,8.5,630.33
3,489437,15362.0,United Kingdom,2009-12-01 09:08:00,23,145,9.95,310.75
4,489438,18102.0,United Kingdom,2009-12-01 09:24:00,17,826,6.4,2286.24
5,489439,12682.0,France,2009-12-01 09:28:00,18,216,7.95,372.29999999999995
6,489440,18087.0,United Kingdom,2009-12-01 09:43:00,2,16,3.75,50.4
7,489441,18087.0,United Kingdom,2009-12-01 09:44:00,4,102,4.25,344.34000000000003
8,489442,13635.0,United Kingdom,2009-12-01 09:46:00,23,275,6.75,382.37000000000006
9,489443,14110.0,United Kingdom,2009-12-01 09:50:00,7,120,3.39,285.06
10,489445,17519.0,United Kingdom,2009-12-01 09:57:00,19,280,12.75,308.44
11,489446,13758.0,United Kingdom,2009-12-01 10:06:00,27,382,12.75,996.1
12,489448,15413.0,United Kingdom,2009-12-01 10:18:00,4,192,4.25,570.24
13,489450,16321.0,Australia,2009-12-01 10:36:00,9,100,4.25,196.10000000000002
14,489460,16167.0,United Kingdom,2009-12-01 10:46:00,15,977,6.75,485.7900000000001
15,489461,17865.0,United Kingdom,2009-12-01 10:49:00,26,379,9.95,589.33
16,489465,13767.0,United Kingdom,2009-12-01 10:52:00,19,408,14.95,1197.8
17,489488,17238.0,United Kingdom,2009-12-01 10:59:00,30,80,12.75,251.1
18,489505,15712.0,United Kingdom,2009-12-01 11:17:00,10,64,8.5,255.49999999999997
19,489514,15311.0,United Kingdom,2009-12-01 11:21:00,32,326,10.95,823.02
20,489517,16329.0,United Kingdom,2009-12-01 11:34:00,38,138,5.95,282.46000000000004
21,489519,17700.0,United Kingdom,2009-12-01 11:37:00,38,247,8.5,696.7300000000002
22,489520,14911.0,EIRE,2009-12-01 11:41:00,30,293,12.75,733.6300000000002
23,489522,15998.0,United Kingdom,2009-12-01 11:45:00,104,409,9.95,700.3099999999998
24,489523,12931.0,United Kingdom,2009-12-01 11:46:00,1,800,1.45,1160.0
25,489526,12533.0,Germany,2009-12-01 11:50:00,43,478,9.95,821.9200000000001
26,489529,17984.0,United Kingdom,2009-12-01 11:51:00,50,212,16.95,229.45999999999998
27,489531,14871.0,United Kingdom,2009-12-01 11:57:00,14,54,7.95,144.99999999999997
28,489532,13394.0,United Kingdom,2009-12-01 11:58:00,20,353,12.75,304.53
29,489533,16011.0,United Kingdom,2009-12-01 12:02:00,22,67,16.95,192.74999999999997
30,489536,16393.0,United Kingdom,2009-12-01 12:13:00,130,216,6.75,367.41
31,489537,14040.0,United Kingdom,2009-12-01 12:14:00,59,250,19.95,633.3300000000003
32,489539,15061.0,United Kingdom,2009-12-01 12:18:00,17,1598,5.95,2887.14
33,489540,12913.0,United Kingdom,2009-12-01 12:18:00,5,188,5.45,537.96
34,489542,15061.0,United Kingdom,2009-12-01 12:19:00,2,264,4.25,387.6
35,489544,14341.0,United Kingdom,2009-12-01 12:20:00,14,226,6.75,281.82
36,489545,17804.0,United Kingdom,2009-12-01 12:22:00,32,92,12.75,124.95
37,489546,14156.0,EIRE,2009-12-01 12:30:00,33,212,14.95,584.5000000000001
38,489547,13599.0,United Kingdom,2009-12-01 12:30:00,22,595,4.95,641.4499999999999
39,489550,14156.0,EIRE,2009-12-01 12:33:00,23,232,14.95,482.2999999999999
40,489552,17063.0,United Kingdom,2009-12-01 12:36:00,25,129,8.95,278.6099999999999
41,489556,15719.0,United Kingdom,2009-12-01 12:47:00,59,176,12.75,379.64999999999986
42,489557,12490.0,France,2009-12-01 12:52:00,20,438,6.75,531.94
43,489558,15793.0,United Kingdom,2009-12-01 12:54:00,4,154,5.95,291.58000000000004
44,489559,17056.0,United Kingdom,2009-12-01 12:55:00,8,26,7.95,128.60000000000002
45,489560,13526.0,United Kingdom,2009-12-01 12:56:00,30,1585,3.75,859.1
46,489561,14654.0,United Kingdom,2009-12-01 12:57:00,27,273,4.95,246.86
47,489562,17998.0,United Kingdom,2009-12-01 13:07:00,39,107,45.95,229.6
48,489564,13526.0,United Kingdom,2009-12-01 13:13:00,14,326,2.1,322.8999999999999
49,489566,17742.0,United Kingdom,2009-12-01 13:16:00,8,35,18.95,218.54999999999998
50,489567,15326.0,United Kingdom,2009-12-01 13:19:00,20,150,29.95,307.79999999999995
51,489569,14478.0,United Kingdom,2009-12-01 13:20:00,18,312,9.95,282.28
52,489571,15967.0,United Kingdom,2009-12-01 13:29:00,30,50,12.75,156.70999999999998
53,489572,17611.0,United Kingdom,2009-12-01 13:29:00,83,273,7.95,507.48999999999967
54,489573,15051.0,United Kingdom,2009-12-01 13:29:00,32,306,6.95,580.02
55,489574,13097.0,United Kingdom,2009-12-01 13:31:00,65,313,8.5,551.3299999999998
56,489575,13590.0,United Kingdom,2009-12-01 13:37:00,22,300,8.5,367.2799999999999
57,489576,15984.0,United Kingdom,2009-12-01 13:38:00,17,178,16.95,319.66
58,489579,16887.0,United Kingdom,2009-12-01 13:41:00,34,177,9.95,219.81999999999996
59,489580,12921.0,United Kingdom,2009-12-01 13:43:00,8,276,1.25,261.0
60,489581,15945.0,United Kingdom,2009-12-01 13:47:00,10,137,4.95,124.83000000000001
61,489582,14543.0,United Kingdom,2009-12-01 13:47:00,9,125,14.95,293.95
62,489584,18037.0,United Kingdom,2009-12-01 13:48:00,1,1,21.95,21.95
63,489585,15662.0,United Kingdom,2009-12-01 13:49:00,4,67,5.95,105.85
64,489586,15380.0,United Kingdom,2009-12-01 13:50:00,6,98,4.25,263.42
65,489590,13110.0,United Kingdom,2009-12-01 14:14:00,27,87,12.75,362.78
66,489593,12836.0,United Kingdom,2009-12-01 14:19:00,30,95,29.95,423.86999999999995
67,489594,15005.0,United Kingdom,2009-12-01 14:19:00,51,181,10.75,322.33000000000004
68,489598,16620.0,United Kingdom,2009-12-01 14:35:00,50,575,9.95,822.37
69,489599,12758.0,Portugal,2009-12-01 14:40:00,79,1403,10.95,2454.68
